ts,ws_temp_f,ws_rh_pct,ws_solar_w_m2,ws_wind_mph,temp_avg,rh_avg,vpd_avg,temp_north,temp_east,temp_west,temp_south,heat1,heat2,fan1,fan2,vent
2025-10-06 07:08:00+00,44.528,,0,0.961882605583393,58.8649978637695,67.8499984741211,0.544769763946533,58.8199996948242,,,58.6399993896484,t,f,f,f,f
2025-10-06 07:10:00+00,44.546,,0,0.738188976377953,58.8649978637695,67.9499969482422,0.543943524360657,58.8199996948242,,,58.6399993896484,t,f,f,f,f
2025-10-06 07:12:00+00,44.546,,0,0.738188976377953,58.8649978637695,67.9250030517578,0.543522715568542,58.8199996948242,,,58.6399993896484,t,f,f,f,f
2025-10-06 07:14:00+00,44.438,,0,0.782927702219041,58.8649978637695,68.0250015258789,0.543514490127563,58.6399993896484,,,58.8199996948242,t,f,f,f,f
2025-10-06 07:16:00+00,44.438,,0,0.782927702219041,58.8649978637695,67.9749984741211,0.542257308959961,58.6399993896484,,,58.8199996948242,t,f,f,f,f
2025-10-06 07:18:00+00,44.438,,0,0.782927702219041,58.8649978637695,68.0500030517578,0.541375458240509,,,,58.8199996948242,t,f,f,f,f
2025-10-06 07:20:00+00,44.528,,0,0.715819613457409,58.8199996948242,68.0000076293945,0.542643547058105,,,,58.6399993896484,t,f,f,f,f
2025-10-06 07:22:00+00,44.528,,0,0.715819613457409,58.7300033569336,68,0.540470957756042,,58.8199996948242,58.8199996948242,,t,f,f,f,f
2025-10-06 07:24:00+00,44.564,,0,0.447387258410881,58.7750015258789,68.0750045776367,0.539205551147461,,58.8199996948242,59,,t,f,f,f,f
2025-10-06 07:26:00+00,44.564,,0,0.447387258410881,58.7300033569336,68.125,0.538358330726624,,,58.8199996948242,,t,f,f,f,f
2025-10-06 07:28:00+00,44.564,,0,0.939513242662849,58.7300033569336,67.9750061035156,0.541762173175812,,58.8199996948242,,,t,f,f,f,f
2025-10-06 07:32:00+00,44.438,,0,1.54348604151754,58.7300033569336,68.0250015258789,0.540470957756042,,,58.8199996948242,,t,f,f,f,f
2025-10-06 07:38:00+00,44.438,,0,1.54348604151754,58.7750015258789,67.9750061035156,0.541756749153137,,58.8199996948242,,,t,f,f,f,f
2025-10-06 07:40:00+00,44.294,,0,2.19219756621331,58.7300033569336,68.0750045776367,0.539200186729431,,,,,t,f,f,f,f
2025-10-06 07:44:00+00,44.294,,0,0.939513242662849,58.6849975585938,68.1000061035156,0.53791868686676,58.4599990844727,,,,t,f,f,f,f
2025-10-06 07:50:00+00,44.348,,0,0.715819613457409,58.6399993896484,68.2000045776367,0.536203265190125,,58.8199996948242,,,t,f,f,f,f
2025-10-06 07:52:00+00,44.348,,0,0.715819613457409,58.6849975585938,68.25,0.535377144813538,58.4599990844727,58.8199996948242,,,t,f,f,f,f
2025-10-06 07:54:00+00,44.348,,0,0.715819613457409,58.6849975585938,68.1999969482422,0.53623241186142,58.4599990844727,,,,t,f,f,f,f
2025-10-06 07:56:00+00,44.492,,0,0.268432355046528,58.6849975585938,68.0750045776367,0.53791868686676,58.4599990844727,,,58.6399993896484,t,f,f,f,f
2025-10-06 07:58:00+00,44.492,,0,0.268432355046528,58.5949974060059,68.1250076293945,0.535771667957306,58.4599990844727,58.8199996948242,,58.4599990844727,t,f,f,f,f
2025-10-06 08:00:00+00,44.672,,0,0.872405153901217,58.6399993896484,68.0750045776367,0.537484407424927,58.4599990844727,58.8199996948242,,58.4599990844727,t,f,f,f,f
2025-10-06 08:02:00+00,44.672,,0,0.872405153901217,58.7300033569336,68.0750045776367,0.539205610752106,58.6399993896484,,,58.6399993896484,t,f,f,f,f
2025-10-06 08:04:00+00,44.78,,0,1.1184681460272,58.5949974060059,68.1000061035156,0.536195278167725,58.4599990844727,58.6399993896484,,58.4599990844727,t,f,f,f,f
2025-10-06 08:06:00+00,44.78,,0,1.1184681460272,58.6399993896484,68.0750045776367,0.53832072019577,58.4599990844727,58.8199996948242,,58.4599990844727,t,f,f,f,f
2025-10-06 08:08:00+00,44.78,,0,1.1184681460272,58.6849975585938,68,0.540470957756042,58.4599990844727,58.8199996948242,,58.6399993896484,t,f,f,f,f
